Business_Name,User,Rating,Date,Review_Text,Processed_Text,Sentiment_Label,Review_Length
KFC Madurai,Mohammed sameer,3,3 months ago,"The food here is okay, but only really good on Wednesdays when there are offers. The service was fairly standard, and the atmosphere was generally pleasant. Overall it's above average when compared to its competitors franchises.",food here okay but only really good wednesdays when there offers service fairly standard atmosphere generally pleasant overall its above average when compared its competitors franchises,Neutral,26
KFC Madurai,Aswath,3,7 months ago,"Ordering experience was easy and the KFC chicken was decent enough... But the chicken wrap was not good at all, please don't use paratha instead use naan or kubos as a wrap.",ordering experience easy kfc chicken decent enough but chicken wrap not good all please dont use paratha instead use naan kubos as wrap,Neutral,23
KFC Madurai,Pradeep Sanjay,1,5 months ago,Very very worst food the chicken served in the Wednesday offer was very old chicken the bone of the chicken was too black and spoiled they not serving fresh chicken please avoid this branch and food department kindly seal it they regularly serving old chicken after eating this chicken the kids are suffering from stomach pain,very very worst food chicken served wednesday offer very old chicken bone chicken too black spoiled they not serving fresh chicken please avoid branch food department kindly seal they regularly serving old chicken after eating chicken kids suffering from stomach pain,Negative,41
KFC Madurai,Vetri Venthan,5,2 years ago,"I had an absolutely delightful dining experience at this restaurant! The food was a true culinary masterpiece that exceeded all expectations. Every dish was expertly crafted with a perfect balance of flavors and textures that left my taste buds dancing with delight. Delicious  food 😋.

I'm fully satisfied with the spacious sitting area.
The staff are friendly and responsive, they took care of my order and acknowledged my queries too. I'm happy with the hospitality and services. Food was flavourful and scrumptious. I would really like to visit again. Thank you for your service team. ❤️✅",i had absolutely delightful dining experience restaurant food true culinary masterpiece exceeded all expectations every dish expertly crafted perfect balance flavors textures left my taste buds dancing delight delicious food im fully satisfied spacious sitting area staff friendly responsive they took care my order acknowledged my queries too im happy hospitality services food flavourful scrumptious i would really like visit again thank you your service team,Positive,66
KFC Madurai,Saravana Kumar Subramanian,5,3 months ago,We prefer the previous Classic Zinger burger with white mayo and sesame bun. The tandoori burger with spicy mayo is not up to the mark. But otherwise the fried chicken was good. We loved it!,we prefer previous classic zinger burger white mayo sesame bun tandoori burger spicy mayo not up mark but otherwise fried chicken good we loved,Positive,24
KFC Madurai,Sabari Raja,1,2 months ago,"I ordered the food in 10:30 - It’s been 1.45 hours, still, they’re not making any process of making

After evening, this restaurant works like stupids with very less employees- I’m getting this experience for the third time in a row, still, they haven’t shown any improvement

If the restaurant can’t run after night time or incapable of giving basic food, why it’s open after evening, such a worst KFC, you could ever visit

Don’t visit here",i ordered food its been hours still theyre not making any process making after evening restaurant works like stupids very less employees im getting experience third time row still they havent shown any improvement if restaurant cant run after night time incapable giving basic food why its open after evening such worst kfc you could ever visit dont visit here,Negative,60
KFC Madurai,NAVEEN RAJA Elangovan,3,6 months ago,"The place is good, food was as expected except, the chezza we had was just an overrated chiken with a little cheese grating.
The sauce on the cheeza dominated the flavour. I won't recommend that dish.

Rest was as per expectations. Ambience is good.",place good food as expected except chezza we had just overrated chiken little cheese grating sauce cheeza dominated flavour i wont recommend dish rest as per expectations ambience good,Neutral,29
KFC Madurai,srither sri,1,2 months ago,Very worst taste only salt no boiled 🤮🤮🤮🤮only masal,very worst taste only salt no boiled only masal,Negative,9
KFC Madurai,Pravin Rajkumar,5,4 months ago,Self service only and good interior 😍😍,self service only good interior,Positive,5
KFC Madurai,ra ja,1,4 months ago,"⚠️ Be careful at Madurai KFC
I noticed that staff were taking customers’ phones and posting reviews on their behalf.
Please be alert and do not hand over your mobile phone to anyone if asked. Better to write your own review later. 🤣",be careful madurai kfc i noticed staff were taking customers phones posting reviews their behalf please be alert do not hand over your mobile phone anyone if asked better write your own review later,Negative,34
KFC Madurai,SAN BA,1,9 months ago,"The girls in the cash register got the not so right attitude towards customers and treating em, as if they are offering it free of cost

BUCKET CHICKEN WITHOUT BUCKET 🤐

This is an international franchise for god's sake so, act like one",girls cash register got not so right attitude towards customers treating em as if they offering free cost bucket chicken without bucket international franchise gods sake so act like one,Negative,30
KFC Madurai,Loankartindia Pvt Ltd india,1,3 years ago,It's a old food and skin too is smelly and bad oil has been represented better take food directly or else please be calm. Never order in online it will affect your experience and taste of KFC. A brand name is getting spoiled as including on online order KFC madurai is never getting care about this issue.,its old food skin too smelly bad oil has been represented better take food directly else please be calm never order online will affect your experience taste kfc brand name getting spoiled as including online order kfc madurai never getting care about issue,Negative,43
KFC Madurai,Raj Zorp,1,7 months ago,"Ordered in Swiggy. In my entire life, I have not had the worst uncooked stale chicken KFC ever looks like all the items were prepared one week back these guys should be arrested by food security never go to the shop. This franchise needs to be closed immediately.",ordered swiggy my entire life i have not had worst uncooked stale chicken kfc ever looks like all items were prepared one week back these guys should be arrested by food security never go shop franchise needs be closed immediately,Negative,40
KFC Madurai,Narayanan Ramakrishnan,4,5 years ago,"Every one knows about it so I don't wanna say anything new about the KFC chicken point but in Madurai KFC all kind of chicken varieties are nice , especially smoky red chicken is one of the best for me,  burger, and chicken wrap also good in taste.... Waiting time here tooooo long they  need to arrest the waiting time so that everyone love to eat there and quickly move on to their work ... And some suggestions to KFC Madurai after this pandemic situation  everyone is love visiting this place they are also  following the SOP of Covid-19 better in the way but kindly clean and clear  the table quickly after the person complete his food so that the new comers to the shop will love to sit and eat there ... Give some extra plates to hold the food for the additional support to keep the tables clean to avoid wasting the food in the table.... Water for childrens is also essential need do that ...",every one knows about so i dont wanna say anything new about kfc chicken point but madurai kfc all kind chicken varieties nice especially smoky red chicken one best me burger chicken wrap also good taste waiting time here tooooo long they need arrest waiting time so everyone love eat there quickly move their work some suggestions kfc madurai after pandemic situation everyone love visiting place they also following sop covid better way but kindly clean clear table quickly after person complete his food so new comers shop will love sit eat there give some extra plates hold food additional support keep tables clean avoid wasting food table water childrens also essential need do,Positive,114
KFC Madurai,mohamed safiq,1,7 months ago,"Ordering processing too slow. After ordering, order takes more  40mins to serve. Service is extremely rage biting. Even manager and sales person not giving face to even call them as sister and brother. Never face this kind of experience in any KFC. They gives priority to very bigger orders only.  Overall service too bad, food is good",ordering processing too slow after ordering order takes more mins serve service extremely rage biting even manager sales person not giving face even call them as sister brother never face kind experience any kfc they gives priority very bigger orders only overall service too bad food good,Negative,47
KFC Madurai,T. Vishnuprasath,3,4 months ago,"I ordered 399rs -Wednesday chiken in kfc app, taste-average, size-little bit small compared to kfc anna nagar, no tissue provided, package- very average",i ordered rs wednesday chiken kfc app tasteaverage sizelittle bit small compared kfc anna nagar no tissue provided package very average,Neutral,21
