Business_Name,User,Rating,Date,Review_Text
KFC Madurai,Mohammed sameer,3.0,3 months ago,"The food here is okay, but only really good on Wednesdays when there are offers. The service was fairly standard, and the atmosphere was generally pleasant. Overall it's above average when compared to its competitors franchises."
KFC Madurai,Aswath,3.0,7 months ago,"Ordering experience was easy and the KFC chicken was decent enough... But the chicken wrap was not good at all, please don't use paratha instead use naan or kubos as a wrap."
KFC Madurai,Pradeep Sanjay,1.0,5 months ago,Very very worst food the chicken served in the Wednesday offer was very old chicken the bone of the chicken was too black and spoiled they not serving fresh chicken please avoid this branch and food department kindly seal it they regularly serving old chicken after eating this chicken the kids are suffering from stomach pain
KFC Madurai,Vetri Venthan,5.0,2 years ago,"I had an absolutely delightful dining experience at this restaurant! The food was a true culinary masterpiece that exceeded all expectations. Every dish was expertly crafted with a perfect balance of flavors and textures that left my taste buds dancing with delight. Delicious  food 😋.

I'm fully satisfied with the spacious sitting area.
The staff are friendly and responsive, they took care of my order and acknowledged my queries too. I'm happy with the hospitality and services. Food was flavourful and scrumptious. I would really like to visit again. Thank you for your service team. ❤️✅"
KFC Madurai,Saravana Kumar Subramanian,5.0,3 months ago,We prefer the previous Classic Zinger burger with white mayo and sesame bun. The tandoori burger with spicy mayo is not up to the mark. But otherwise the fried chicken was good. We loved it!
KFC Madurai,Sabari Raja,1.0,2 months ago,"I ordered the food in 10:30 - It’s been 1.45 hours, still, they’re not making any process of making

After evening, this restaurant works like stupids with very less employees- I’m getting this experience for the third time in a row, still, they haven’t shown any improvement

If the restaurant can’t run after night time or incapable of giving basic food, why it’s open after evening, such a worst KFC, you could ever visit

Don’t visit here"
KFC Madurai,NAVEEN RAJA Elangovan,3.0,6 months ago,"The place is good, food was as expected except, the chezza we had was just an overrated chiken with a little cheese grating.
The sauce on the cheeza dominated the flavour. I won't recommend that dish.

Rest was as per expectations. Ambience is good."
KFC Madurai,srither sri,1.0,2 months ago,Very worst taste only salt no boiled 🤮🤮🤮🤮only masal
KFC Madurai,Pravin Rajkumar,5.0,4 months ago,Self service only and good interior 😍😍
KFC Madurai,ra ja,1.0,4 months ago,"⚠️ Be careful at Madurai KFC
I noticed that staff were taking customers’ phones and posting reviews on their behalf.
Please be alert and do not hand over your mobile phone to anyone if asked. Better to write your own review later. 🤣"
KFC Madurai,SAN BA,1.0,9 months ago,"The girls in the cash register got the not so right attitude towards customers and treating em, as if they are offering it free of cost

BUCKET CHICKEN WITHOUT BUCKET 🤐

This is an international franchise for god's sake so, act like one"
KFC Madurai,Loankartindia Pvt Ltd india,1.0,3 years ago,It's a old food and skin too is smelly and bad oil has been represented better take food directly or else please be calm. Never order in online it will affect your experience and taste of KFC. A brand name is getting spoiled as including on online order KFC madurai is never getting care about this issue.
KFC Madurai,Raj Zorp,1.0,7 months ago,"Ordered in Swiggy. In my entire life, I have not had the worst uncooked stale chicken KFC ever looks like all the items were prepared one week back these guys should be arrested by food security never go to the shop. This franchise needs to be closed immediately."
KFC Madurai,Narayanan Ramakrishnan,4.0,5 years ago,"Every one knows about it so I don't wanna say anything new about the KFC chicken point but in Madurai KFC all kind of chicken varieties are nice , especially smoky red chicken is one of the best for me,  burger, and chicken wrap also good in taste.... Waiting time here tooooo long they  need to arrest the waiting time so that everyone love to eat there and quickly move on to their work ... And some suggestions to KFC Madurai after this pandemic situation  everyone is love visiting this place they are also  following the SOP of Covid-19 better in the way but kindly clean and clear  the table quickly after the person complete his food so that the new comers to the shop will love to sit and eat there ... Give some extra plates to hold the food for the additional support to keep the tables clean to avoid wasting the food in the table.... Water for childrens is also essential need do that ..."
KFC Madurai,mohamed safiq,1.0,7 months ago,"Ordering processing too slow. After ordering, order takes more  40mins to serve. Service is extremely rage biting. Even manager and sales person not giving face to even call them as sister and brother. Never face this kind of experience in any KFC. They gives priority to very bigger orders only.  Overall service too bad, food is good"
KFC Madurai,T. Vishnuprasath,3.0,4 months ago,"I ordered 399rs -Wednesday chiken in kfc app, taste-average, size-little bit small compared to kfc anna nagar, no tissue provided, package- very average"
KFC Madurai,Sureka Sugan,1.0,7 months ago,Need ur contact number. Kindly update. It is not reachable. We with our family n kids came to the kfc and did online payment of 489/-which was deducted and they said it is not working and then v tried again with the another menu for 611/- paid cash. Now the online payment is deducted don’t know how to contact ur restaurant and ask v r from Bangalore. Payment details and order number is still with me. Could you please give us ur number to contact.
KFC Madurai,Monesh Kannan,1.0,3 months ago,"Customer service was very bad. While I was ordering at the display and discussing another item with my friend, a female cashier wearing specs rudely told us not to stand there and to go and sit. Very disappointing experience.

Very very worst that casher girl"
